siren,nom_pappers,classification_finale,source_classification,objet_social,code_naf,libelle_naf,forme_juridique,adresse_ligne_1,code_postal,ville,latitude,longitude,enseigne,nom_commercial,date_creation,entreprise_cessee,date_cessation,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,siret_siege,has_panel_data,flag_multi_etabs
793165234,LAVE MONT LAVERIES MONTMARTRE,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"EURL, entreprise unipersonnelle à responsabilité limitée",3 RUE EUGENE SUE,75018,PARIS,48.89094299980184,2.34592700000271,LAVATRONIC,LAVATRONIC,2013-05-16,False,,3,4,False,,79316523400014,1,1
444720593,FINANCIERE MENILMONTANT,LS_INITIAL,A1_pure_or_probable,TEINTURERIE BLANCHISSERIE LAVERIE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",133 RUE DE MENILMONTANT,75020,PARIS,48.87017399980183,2.395495000002504,,,2003-01-07,False,,1,2,False,,44472059300029,1,0
381354810,STARWASH,LS_INITIAL,A1_pure_or_probable,Laverie automatique.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",113 RUE DE MEAUX,75019,PARIS,48.88436699980184,2.378314000002576,,,1991-03-01,False,,4,9,False,,38135481000016,1,1
413153859,LAVERIE MAISONS ALFORT,LS_INITIAL,A1_pure_or_probable,Laverie automatique.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",50 AVENUE DU GENERAL LECLERC,94700,MAISONS-ALFORT,48.806987999801855,2.438304000002324,LAVERIE MAISONS-ALFORT,,1997-07-13,False,,3,4,False,,41315385900017,1,1
903047975,SARL FASO,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",9 RUE VICTOR HUGO,92230,GENNEVILLIERS,48.92087399980185,2.2939180000029276,,,2021-07-21,False,,1,1,False,,90304797500011,1,0
391394707,VOLTAIRE LAVERIE,LS_INITIAL,A1_pure_or_probable,Laverie libre service,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",48 BOULEVARD VOLTAIRE,75011,PARIS,48.86323999980184,2.3706640000026074,,,1993-03-17,False,,1,3,False,,39139470700031,1,0
954046835,FIRELAV,LS_INITIAL,A1_pure_or_probable,Activités des sièges sociaux,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",17 RUE DU COLONEL OUDOT,75012,PARIS,48.83725399980183,2.4077340000024527,,,2023-07-03,False,,3,3,False,,95404683500011,1,1
850855065,LAVERIE N12,LS_INITIAL,A1_pure_or_probable,PRESSING NETTOYAGE BLANCHISSERIE REPASSAGE RETOUCHERIE,96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",6 RUE DUGOMMIER,75012,PARIS,48.83948599980183,2.3906840000025227,,,2019-04-26,False,,1,1,False,,85085506500015,1,0
519882377,LAVERIE FJL,LS_INITIAL,A1_pure_or_probable,Laverie automatique,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",78 RUE DES AMANDIERS,75020,PARIS,48.86654599980183,2.3897700000025273,,,2010-02-01,False,,5,5,False,,51988237700012,1,1
883135089,CONCEPT LAV'ECO,LS_INITIAL,A1_pure_or_probable,laverie automatique en libre-service,96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",37 AVENUE PIERRE GRENIER,92100,BOULOGNE-BILLANCOURT,48.83007999980184,2.251525000003097,,,2020-04-29,False,,1,2,False,,88313508900026,1,0
