siren,annee,date_depot,type_comptes,filename_pdf,token_pdf,filename_xlsx,token_xlsx
793165234,2024,2025-05-02,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2024.pdf,Uk5FQzc5MzE2NTIzNDY4MzU3M2QyYmRmOGFkZmU0NTBlZWQ3MA,LAVERIES MONTMARTRE- Comptes sociaux 2024.xlsx,WFM3OTMxNjUyMzQyMDI1MDUwMjIwMjQwNjMw
793165234,2023,2025-04-25,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2023.pdf,Uk5FQzc5MzE2NTIzNDY4MjU5ZjQxYzUzYzFiN2IxYzAyMTg2ZQ,LAVERIES MONTMARTRE- Comptes sociaux 2023.xlsx,WFM3OTMxNjUyMzQyMDI1MDQyNTIwMjMwNjMw
793165234,2022,2022-12-27,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2022.pdf,Qzc5MzE2NTIzNDIwMjIxMjI3MjAyMjA2MzBDUw,LAVERIES MONTMARTRE- Comptes sociaux 2022.xlsx,WFM3OTMxNjUyMzQyMDIyMTIyNzIwMjIwNjMw
793165234,2021,2022-08-25,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2021.pdf,Qzc5MzE2NTIzNDIwMjIwODI1MjAyMTA2MzBDUw,LAVERIES MONTMARTRE- Comptes sociaux 2021.xlsx,WFM3OTMxNjUyMzQyMDIyMDgyNTIwMjEwNjMw
793165234,2020,2021-05-11,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2020.pdf,Qzc5MzE2NTIzNDIwMjEwNTExMjAyMDA2MzBDUw,LAVERIES MONTMARTRE- Comptes sociaux 2020.xlsx,WFM3OTMxNjUyMzQyMDIxMDUxMTIwMjAwNjMw
793165234,2019,2020-08-28,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2019.pdf,Uk5FQzc5MzE2NTIzNDY0MTk4MzUzYjU5MmRiZjkzNjEwZTY2Nw,LAVERIES MONTMARTRE- Comptes sociaux 2019.xlsx,WFM3OTMxNjUyMzQyMDIwMDgyODIwMTkwNjMw
793165234,2018,2019-10-21,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2018.pdf,Uk5FQzc5MzE2NTIzNDY0MTk4MzUzYjU5MmRiZjkzNjEwZTY2Ng,LAVERIES MONTMARTRE- Comptes sociaux 2018.xlsx,WFM3OTMxNjUyMzQyMDE5MTAyMTIwMTgwNjMw
793165234,2017,2019-02-01,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2017.pdf,Uk5FQzc5MzE2NTIzNDY0MTk4MzUzYjU5MmRiZjkzNjEwZTY2NQ,LAVERIES MONTMARTRE- Comptes sociaux 2017.xlsx,WFM3OTMxNjUyMzQyMDE5MDIwMTIwMTcwNjMw
793165234,2016,2017-02-13,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2016.pdf,Uk5FQzc5MzE2NTIzNDY0MTk4MzUzYjU5MmRiZjkzNjEwZTY2NA,LAVERIES MONTMARTRE- Comptes sociaux 2016.xlsx,WFM3OTMxNjUyMzQyMDE3MDIxMzIwMTYwNjMw
793165234,2015,2017-02-13,CS,LAVE MONT LAVERIES MONTMARTRE - Comptes sociaux 2015.pdf,Uk5FQzc5MzE2NTIzNDY0MTk4MzUzYjU5MmRiZjkzNjEwZTY2Mw,LAVERIES MONTMARTRE- Comptes sociaux 2015.xlsx,WFM3OTMxNjUyMzQyMDE3MDIxMzIwMTUwNjMw
444720593,2020,2021-09-10,CS,FINANCIERE MENILMONTANT - Comptes sociaux 2020.pdf,QzQ0NDcyMDU5MzIwMjEwOTEwMjAyMDEyMzFDUw,FINANCIERE MENILMONTANT- Comptes sociaux 2020.xlsx,WEM0NDQ3MjA1OTMyMDIxMDkxMDIwMjAxMjMx
444720593,2019,2020-07-22,CS,FINANCIERE MENILMONTANT - Comptes sociaux 2019.pdf,QzQ0NDcyMDU5MzIwMjAwNzIyMjAxOTEyMzFDUw,FINANCIERE MENILMONTANT- Comptes sociaux 2019.xlsx,WEM0NDQ3MjA1OTMyMDIwMDcyMjIwMTkxMjMx
444720593,2018,2019-08-09,CS,FINANCIERE MENILMONTANT - Comptes sociaux 2018.pdf,QzQ0NDcyMDU5MzIwMTkwODA5MjAxODEyMzFDUw,FINANCIERE MENILMONTANT- Comptes sociaux 2018.xlsx,WEM0NDQ3MjA1OTMyMDE5MDgwOTIwMTgxMjMx
444720593,2017,2018-07-24,CS,FINANCIERE MENILMONTANT - Comptes sociaux 2017.pdf,QzQ0NDcyMDU5MzIwMTgwNzI0MjAxNzEyMzFDUw,FINANCIERE MENILMONTANT- Comptes sociaux 2017.xlsx,WEM0NDQ3MjA1OTMyMDE4MDcyNDIwMTcxMjMx
444720593,2016,2017-08-14,CS,FINANCIERE MENILMONTANT - Comptes sociaux 2016.pdf,QzQ0NDcyMDU5MzIwMTcwODE0MjAxNjEyMzFDUw,FINANCIERE MENILMONTANT- Comptes sociaux 2016.xlsx,WEM0NDQ3MjA1OTMyMDE3MDgxNDIwMTYxMjMx
381354810,2024,2025-09-23,CS,STARWASH - Comptes sociaux 2024.pdf,Uk5FQzM4MTM1NDgxMDY4ZThjMzdhNDE3NDVkODdkNzAzNmRkNA,STARWASH- Comptes sociaux 2024.xlsx,WEMzODEzNTQ4MTAyMDI1MDkyMzIwMjQxMjMx
381354810,2023,2024-10-02,CS,STARWASH - Comptes sociaux 2023.pdf,Uk5FQzM4MTM1NDgxMDY3MTlmZWRkOWQ3YTI1NGM1MjBiYjcyMg,STARWASH- Comptes sociaux 2023.xlsx,WEMzODEzNTQ4MTAyMDI0MTAwMjIwMjMxMjMx
381354810,2022,2023-09-28,CS,STARWASH - Comptes sociaux 2022.pdf,Uk5FQzM4MTM1NDgxMDY5NDU2YjkzMzU4ZjhmM2ZkZTA4MmM2ZQ,STARWASH- Comptes sociaux 2022.xlsx,WEMzODEzNTQ4MTAyMDIzMDkyODIwMjIxMjMx
381354810,2021,2022-11-08,CS,STARWASH - Comptes sociaux 2021.pdf,Uk5FQzM4MTM1NDgxMDYzZWIzYzM2NWY1MGUzMjEzNDBlMzY5Ng,STARWASH- Comptes sociaux 2021.xlsx,WEMzODEzNTQ4MTAyMDIyMTEwODIwMjExMjMx
381354810,2020,2021-11-16,CS,STARWASH - Comptes sociaux 2020.pdf,Uk5FQzM4MTM1NDgxMDYzZWIzYzM2NWY1MGUzMjEzNDBlMzY5Nw,STARWASH- Comptes sociaux 2020.xlsx,WEMzODEzNTQ4MTAyMDIxMTExNjIwMjAxMjMx
381354810,2019,2020-12-01,CS,STARWASH - Comptes sociaux 2019.pdf,Uk5FQzM4MTM1NDgxMDYzZWIzYzM2NWY1MGUzMjEzNDBlMzY5OA,STARWASH- Comptes sociaux 2019.xlsx,WEMzODEzNTQ4MTAyMDIwMTIwMTIwMTkxMjMx
381354810,2018,2019-10-15,CS,STARWASH - Comptes sociaux 2018.pdf,Uk5FQzM4MTM1NDgxMDYzZWIzYzM2NWY1MGUzMjEzNDBlMzY5NQ,STARWASH- Comptes sociaux 2018.xlsx,WEMzODEzNTQ4MTAyMDE5MTAxNTIwMTgxMjMx
381354810,2017,2018-11-21,CS,STARWASH - Comptes sociaux 2017.pdf,Uk5FQzM4MTM1NDgxMDYzZWIzYzM2NWY1MGUzMjEzNDBlMzY5NA,STARWASH- Comptes sociaux 2017.xlsx,WEMzODEzNTQ4MTAyMDE4MTEyMTIwMTcxMjMx
413153859,2024,2025-08-14,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2024.pdf,Uk5FQzQxMzE1Mzg1OTY4YWQ2ZmVmMjg0OWUwNmU1ZjBkZDYwMQ,LAVERIE MAISONS ALFORT- Comptes sociaux 2024.xlsx,WFM0MTMxNTM4NTkyMDI1MDgxNDIwMjQxMjMx
413153859,2023,2024-12-13,CS,LAVERIE MAISONS ALFORT - Comptes sociaux 2023.pdf,Uk5FQzQxMzE1Mzg1OTY3NjkyNmRiODMyMTJkYzQ3OTAwYTUzNA,LAVERIE MAISONS ALFORT- Comptes sociaux 2023.xlsx,WFM0MTMxNTM4NTkyMDI0MTIxMzIwMjMxMjMx
