siren,nom_entreprise,chiffre_affaires,resultat,annee_finances,entreprise_cessee,classification,matched_google_lavoir,classification_v2
793165234,LAVE MONT LAVERIES MONTMARTRE,387472,20598.0,2024,0,LS_PURE,True,LS_PURE
832046585,BEAUSOLEIL PRESSING,54960,25705.0,2020,0,PRESSING,True,PRESSING
324275429,SEKENET LEVALLOIS,150411,386.0,2024,0,PRESSING,False,PRESSING
818863821,JINFA,126184,-27816.0,2018,0,AMBIGU,False,AMBIGU
478663180,AU FIL DE L'EAU,44313,-35595.0,2016,0,AMBIGU,False,AMBIGU
949813356,LAVNET PLUS,51986,4437.0,2025,0,LS_MIXTE,False,LS_MIXTE
535406375,SAVOIR FER,128431,-1226.0,2021,0,AMBIGU,False,AMBIGU
512085770,MONDIAL PRESSING,75503,9044.0,2025,0,PRESSING,False,PRESSING
444720593,FINANCIERE MENILMONTANT,101817,-4544.0,2020,0,AMBIGU,True,LS_PROBABLE
403727332,SOCIETE DE NETTOYAGE ET DE TEINTURERIE-SYLCLAU,279560,-14016.0,2018,0,PRESSING,False,PRESSING
381354810,STARWASH,450044,155934.0,2024,0,LS_PURE,True,LS_PURE
510257207,OUSMER SARL,24233,-4868.0,2024,0,AMBIGU,False,AMBIGU
824039531,PYRENEES PRESSING,177770,31827.0,2024,0,PRESSING,False,PRESSING
413153859,LAVERIE MAISONS ALFORT,108452,25176.0,2024,0,LS_PURE,True,LS_PURE
753106160,MANU,35044,-4190.0,2022,0,AMBIGU,False,AMBIGU
814397899,RAIMELA,73364,3409.0,2017,0,AMBIGU,False,AMBIGU
512300104,UNI-PRESS SERVICE,173658,29964.0,2024,0,PRESSING,False,PRESSING
524674017,LE PRESSINGS ECO-RESPONSABLE DE TOURAINE,467302,17728.0,2018,0,PRESSING,False,PRESSING
809904071,LIN YUN,35501,-1283.0,2019,0,AMBIGU,False,AMBIGU
793940222,CAROCAT,128065,21753.0,2024,0,AMBIGU,False,AMBIGU
984356360,PRESSING LEDRAA,44435,-7412.0,2024,0,PRESSING,False,PRESSING
919151597,ATELIER DE LA CHEMISE,21434,-2433.0,2024,0,AMBIGU,False,AMBIGU
752899385,LE MAROIS PEPINIERE,120928,20903.0,2016,0,AMBIGU,False,AMBIGU
330026212,PRESSING DU 7EME,223085,1771.0,2016,0,PRESSING,False,PRESSING
503860215,PRESSING DU PARC,147035,2183.0,2024,0,PRESSING,False,PRESSING
421348426,NINIVE,131993,-51667.0,2022,0,AMBIGU,False,AMBIGU
531939841,SARL PRESSING DE L'OISE,173835,-15864.0,2016,0,PRESSING,False,PRESSING
818922304,LAMRANI SAS,57008,8232.0,2025,0,AMBIGU,False,AMBIGU
882091705,QUALITY CLEAN PRESSING,75728,1168.0,2024,0,PRESSING,False,PRESSING
903047975,SARL FASO,7460,2175.0,2023,0,AMBIGU,True,LS_PROBABLE
500676838,SAIM PRESSING,42197,50.0,2020,0,PRESSING,False,PRESSING
887760155,JONONI,88245,3365.0,2022,0,AMBIGU,False,AMBIGU
391394707,VOLTAIRE LAVERIE,36119,-3438.0,2024,0,LS_PURE,True,LS_PURE
399890599,STERLING PRESSING,99214,15310.0,2024,0,PRESSING,False,PRESSING
752900118,D P C,166671,,2014,0,AMBIGU,False,AMBIGU
801711169,ARC EN CIEL,116687,13484.0,2024,0,AMBIGU,False,AMBIGU
381405661,PRESSING SAINT LAZARE,78275,25639.0,2021,0,PRESSING,False,PRESSING
423756543,ROYAL PRESSING,184673,59499.0,2021,0,PRESSING,False,PRESSING
327058855,PRESSING QUATRE VINGT ONZE,352117,45897.0,2022,0,PRESSING,True,PRESSING
404574048,NEW'CLEAN,26741,156.0,2023,0,AMBIGU,False,AMBIGU
810990499,NEUILLY PRESSING SERVICES,154319,1723.0,2024,0,PRESSING,False,PRESSING
952194058,RD5 SASU R.D.5,365447,56536.0,2024,0,AMBIGU,False,AMBIGU
492523659,LA MARGUERITE D'ALFORTVILLE,34983,-3142.0,2021,0,AMBIGU,False,AMBIGU
853652535,ZBH EURL,19780,588.0,2024,0,AMBIGU,False,AMBIGU
440833473,PRESSING CHAMPERRET,114356,-10361.0,2024,0,PRESSING,False,PRESSING
752490458,TIMILT,19733,-7411.0,2021,0,AMBIGU,False,AMBIGU
622044170,LE NETTOYAGE AUTOMATIQUE,230121,3352.0,2016,0,PRESSING,False,PRESSING
