siren,nom,ca,resultat,annee
793165234,LAVE MONT LAVERIES MONTMARTRE,387472,20598.0,2024
444720593,FINANCIERE MENILMONTANT,101817,-4544.0,2020
381354810,STARWASH,450044,155934.0,2024
413153859,LAVERIE MAISONS ALFORT,108452,25176.0,2024
903047975,SARL FASO,7460,2175.0,2023
391394707,VOLTAIRE LAVERIE,36119,-3438.0,2024
954046835,FIRELAV,213225,20724.0,2024
850855065,LAVERIE N12,19987,-5406.0,2021
519882377,LAVERIE FJL,26712,-171.0,2019
883135089,CONCEPT LAV'ECO,32100,1439.0,2022
531057867,YS LAVERIE,19443,3660.0,2020
530772086,LES LAVERIES DE PARIS,38863,14309.0,2015
507831709,ELECTR'EAU LAV,144588,-513.0,2018
809487739,AU FIL DE L'EAU,18868,-2400.0,2025
483359030,LE FER A LA MAIN,8433,-4413.0,2023
414759100,CLISSON LAVA,127279,9154.0,2021
377823844,NMJP,332545,153437.0,2024
851425827,G M LAVERIE,64674,3069.0,2023
790116032,LAVERIE MJ,72875,2496.0,2017
803883990,HBJJ,56611,8056.0,2021
308240308,PRIBA SARL,97282,4775.0,2022
529440372,LAVOTRONIC,84578,4358.0,2016
841717416,SS SWHAT SERVICE,2070,31489.0,2023
383474947,DELROCHE,93282,6137.0,2015
844765032,BUBBLE WASH,34096,20723.0,2022
410726376,LA LAVERIE DA LA BOURSE,23096,-3569.0,2023
352020838,LAVERIE TELEGRAPHE,69245,-5176.0,2021
913036976,LAVE'UB,74179,-66811.0,2023
408270320,LAVERIE D'AUTEUIL,81527,10790.0,2025
418915872,SARL CMP,28140,837.0,2022
784611915,LE LIBRE SERVICE SOFIA,153537,7048.0,2022
789142874,SEKMET,44101,347.0,2024
662026368,SOC LIBRE SERVICE RELAX 76,85389,1116.0,2016
523647410,SARL NAFICA,44985,3933.0,2021
411178072,R M LAVAGE,121939,2749.0,2017
512993783,LAVERIE DE L'ILE,27487,-825.0,2016
504568346,LOCLA,79316,4629.0,2015
323903930,SELNAS,378034,105469.0,2024
341279065,HA LAVAGE,100070,16290.0,2024
428687941,CL LAVERIE LIBRE SERVICE,49473,13556.0,2024
530327063,VDLJ,75687,3018.0,2023
514335546,SARL B.S,39242,-2097.0,2023
391591914,NAKI NET,197690,4461.0,2015
422883389,LAVERIE ORNANO,33130,1100.0,2017
801819657,WASH HOUDRY,37713,223.0,2019
792378572,JLS CONCEPT,185009,33301.0,2022
414353235,SLAV SOCIETE LAVERIES AUTOMAT VERSAILLAISES,322721,-13197.0,2024
353562838,JCPF,47211,9122.0,2024
844586909,LAV MJL,96892,31263.0,2024
833733538,RELAIS DE MARNE ET SEINE,264787,7381.0,2024
792403438,T.J.S,87980,7720.0,2021
831080429,AU PETIT LAVOIR,175099,-2682.0,2022
353735343,LAV'STORY,208501,14283.0,2018
798191847,SM LAVAGE,81238,-16894.0,2024
419705900,B M SERVICES,244577,3806.0,2021
838759389,CSR,46241,9417.0,2024
835263112,LAVERIE O'CLEAN,16658,133.0,2022
408418093,POINT LAVERIE SERVICE,34017,-7907.0,2024
383613072,A.L.P.A,33002,-340.0,2023
839264587,G.F.J. CLEAN,67254,26326.0,2020
509859914,SARL BLS,467637,18445.0,2021
834318628,LAVERIE DU POTEAU,23755,4321.0,2018
519414205,MULTI-SERVICE-LAVERIE,110277,14570.0,2015
521841130,LAVE-NET,96360,4668.0,2024
537811499,AJS CONCEPT,248226,4033.0,2021
800088544,LAVERIE CLAVIJO LIBRE SERVICE,54125,2548.0,2024
819827049,XU,76505,-4623.0,2024
434468492,EUROSOFT,405085,43906.0,2021
542017843,LAVERIE AUTOMATIQUE DE SAINT-OUEN,259986,22414.0,2022
440930345,LAVERIE LAUMIERE,22519,3340.0,2024
882417769,ENEO LAVERIE,127339,31658.0,2024
977849231,LSLA,28057,-8387.0,2024
539015735,SDJ,138226,21788.0,2021
752827618,TIDOU,410232,26588.0,2016
749905097,LAV'NADHIF,18694,14251.0,2018
381308055,VARME,76276,-315.0,2022
481141711,LAMARI LAUNDROMAT,23993,130.0,2021
483512414,LAV'TOUT BLANC,78651,3667.0,2024
911470193,2A3M LAVERIE,45750,170.0,2024
419088521,JULICE LAVERIE,203368,30555.0,2018
821614450,LAVERIE SAINT PETERSBOURG,27012,-3388.0,2021
448762740,STAR NET,91302,1044.0,2022
491988358,LAVERIE ARDJOUNE,204399,3191.0,2018
752062711,LAVOIR MODERNE PARIS,459532,-1735875.0,2020
331928713,SSM SOC SERVICES DU MONT,32478,2342.0,2022
523987410,CITE LAVERIE,108900,17474.0,2024
441498581,J & H SERVICES,72003,25546.0,2023
849641691,A LAVE VERSAILLAISE,115697,17844.0,2024
790924336,LOVE WASH,22535,-1944.0,2017
732067897,NORD DE PARIS SERVICES,186680,16315.0,2024
801869488,DAMARO SELF SERVICES,30910,-16029.0,2024
444147953,SELAC,392794,23949.0,2020
827514993,PARIS LAVAGE ENTREPRISE,41270,20706.0,2021
532562717,FAST-LAV,124185,6365.0,2023
833739006,LAVERIE ALLES,20638,4900.0,2018
415190214,SOKLEEN,58374,-1587.0,2021
845236868,LAVERIES SPEED WASH,18160,839.0,2020
851029066,CHELLES LAVERIE,47298,-16453.0,2023
538762246,AHAVA ELLA,63598,-1085.0,2024
513488700,LAVERIE DU CENTRE,32260,1003.0,2021
384589628,ORGANIS,86745,20628.0,2015
483340212,SARL LAVNET,190634,2892.0,2019
524200425,LM LAVAGE,36720,4485.0,2024
329402390,LAVERIE DE LA BASTILLE,100304,100741.0,2023
