siren,nom,enseigne,nom_commercial,classification,adresse,code_postal,ville,latitude,longitude,date_creation,nb_annees_bilans,annee_derniere,ca_dernier,ca_avg_5y,ca_avg_total,ca_min,ca_max,ca_delta_yoy_pct,res_dernier,res_avg,ebe_dernier,ebe_avg,marge_nette_avg,dette_financiere_dernier,tresorerie_dernier,procedure_collective
444720593,FINANCIERE MENILMONTANT,,,LS_INITIAL,133 RUE DE MENILMONTANT,75020,PARIS,48.87017399980183,2.395495000002504,2003-01-07,5,2020,101817.0,139639,139639,101817,151943,-31.0,-4544,4260,-2795,2830,1.6,43342.0,53885.0,False
903047975,SARL FASO,,,LS_INITIAL,9 RUE VICTOR HUGO,92230,GENNEVILLIERS,48.92087399980185,2.2939180000029276,2021-07-21,2,2023,7460.0,9886,9886,7460,12313,-39.4,2175,1436,-21409,-10224,17.4,20000.0,5886.0,False
391394707,VOLTAIRE LAVERIE,,,LS_INITIAL,48 BOULEVARD VOLTAIRE,75011,PARIS,48.86323999980184,2.3706640000026074,1993-03-17,5,2024,36119.0,52890,52890,31805,69267,13.6,-3438,34964,5349,2395,93.1,5730.0,37527.0,False
850855065,LAVERIE N12,,,LS_INITIAL,6 RUE DUGOMMIER,75012,PARIS,48.83948599980183,2.3906840000025227,2019-04-26,2,2021,19987.0,21036,21036,19987,22084,-9.5,-5406,-4960,-3415,-3006,-23.7,42536.0,,False
883135089,CONCEPT LAV'ECO,,,LS_INITIAL,37 AVENUE PIERRE GRENIER,92100,BOULOGNE-BILLANCOURT,48.83007999980184,2.251525000003097,2020-04-29,3,2022,32100.0,25013,25013,16944,32100,23.5,1439,798,5097,3870,2.9,,20098.0,False
531057867,YS LAVERIE,,YS LAVERIE,LS_INITIAL,105 BOULEVARD JOURDAN,75014,PARIS,48.82240199980183,2.3283610000027792,2011-02-01,2,2020,19443.0,22562,22562,19443,25680,-24.3,3660,2166,3660,2586,10.7,,7419.0,False
530772086,LES LAVERIES DE PARIS,,,LS_INITIAL,32 RUE HENRI BARBUSSE,93420,VILLEPINTE,48.96511499980181,2.5306450000019476,2011-02-16,2,2015,38863.0,53094,53094,38863,67325,-42.3,14309,5900,-9180,-3387,16.5,0.0,11195.0,False
809487739,AU FIL DE L'EAU,,,LS_INITIAL,9 AVENUE ARBLADE,92240,MALAKOFF,48.81802099980184,2.2919330000029308,2015-03-02,9,2025,18868.0,12338,14704,8287,23572,73.7,-2400,-1113,-2080,-9,-35.1,,9525.0,False
483359030,LE FER A LA MAIN,,LE FER A LA MAIN ,LS_INITIAL,1 AVENUE EDOUARD VAILLANT,92150,SURESNES,48.86249599980185,2.207758000003281,2005-07-19,9,2023,8433.0,8876,10907,5679,14546,-3.1,-4413,968,-5950,-1044,-0.8,7226.0,7309.0,False
803883990,HBJJ,,,LS_INITIAL,1 AVENUE GUSTAVE STRESEMANN,92150,SURESNES,48.86328199980182,2.2045770000032947,2014-07-21,1,2021,56611.0,56611,56611,56611,56611,,8056,4028,15079,7540,14.2,,18717.0,False
