idx,gmaps_name,gmaps_lat,gmaps_lng,gmaps_addr,statut,n_candidats,siren_retenu,nom_retenu,adr_retenue,candidats_autres,flags
0,Laverie du Canal,48.8904738,2.3820503,"3 Rue de l&#x27;Oise, 75019 Paris, France",MATCHE_PROXIMITE,1,672050333,SOC CROCY,49 RUE DE L'OURCQ 75019,,NOUVEAU
1,Laverie Libre Service 7/7,48.77735809999999,2.3133832,"D920, 92340 Bourg-la-Reine, France",MATCHE_PROXIMITE,2,483512414,LAV'TOUT BLANC,110 BD MAL JOFFRE 92340,492449673:VISION WASH SYSTEM,MULTI_CANDIDAT; NOUVEAU
2,Laverie Self,48.8809963,2.236866,"31 Rue Eugène Eichenberger, 92800 Puteaux, France",MATCHE_PROXIMITE,1,349989269,CHAGZEL,59 BD RICHARD WALLACE 92800,,DEJA_MATCHE_AILLEURS; MULTI_ETAB(x2)
3,Laverie libre service Sèvres,48.82396150000001,2.2082155,"5 Rue de ville d&#x27;Avray, 92310 Sèvres, France",MATCHE_PROXIMITE,1,519882377,LAVERIE FJL,3 RUE DE VILLE D'AVRAY 92310,,DEJA_MATCHE_AILLEURS; MULTI_ETAB(x2)
4,Laverie libre service,48.83875530000002,2.2469865,"4 Rue Thiers, 92100 Boulogne-Billancourt, France",MATCHE_PROXIMITE,1,333004604,JESSI-BLANC,51 AV VICTOR HUGO 92100,,DEJA_MATCHE_AILLEURS; MULTI_ETAB(x3)
5,Laverie Netter - Paris 12ème,48.845422,2.4060877,"62 Av. du Dr Arnold Netter, 75012 Paris, France",MATCHE_EXACT,2,805308475,AXYDIA,62 AV ARNOLD NETTER 75012,481069672:AYER,MULTI_CANDIDAT; NOUVEAU
6,Laverie,48.8990808,2.2458623,"92400 Courbevoie, France",MATCHE_PROXIMITE,1,840524888,LAVAUTO 2A,29 AV MARCEAU 92400,,DEJA_MATCHE_AILLEURS
7,Laverie Libre Service,48.9074592,2.2663526,"6 Av. Faidherbe, 92600 Asnières-sur-Seine, France",NON_MATCHE,0,,,,,
8,Laverie Libre Service,48.863113699999985,2.2769941,"50 Rue Decamps, 75116 Paris, France",MATCHE_PROXIMITE,2,324789213,RBS REDON BLANC SERVICE,72 RUE DE LA POMPE 75016,808071195:GBB PRESSING,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS
9,Laverie Libre Service,48.8896734,2.2307952,"18 Rue Marcelin Berthelot, 92000 Puteaux, France",MATCHE_PROXIMITE,1,405142399,PGH CONSEIL,18 RUE MARCELIN BERTHELOT 92800,,DEJA_MATCHE_AILLEURS
10,Laverie Equateur,48.86227320000001,2.3739902,"16-18 Rue de la Folie Méricourt, 75011 Paris, France",MATCHE_PROXIMITE,1,383923679,SARL EQUATEUR,16 RUE FOLIE MERICOURT 75011,,NOUVEAU
11,S.B.S. Laverie Libre Service,48.8427516,2.3297744,"18 Rue Bréa, 75006 Paris, France",MATCHE_PROXIMITE,2,334402476,PHISER,141 BD RASPAIL 75006,807513940:TEINTURERIE MONTPARNASSE RASPAIL,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS; MULTI_ETAB(x4)
12,Laverie S.B.S,48.9000501,2.3150133,"92110 Clichy, France",MATCHE_PROXIMITE,1,381354810,STARWASH,68 BD VICTOR HUGO 92110,,DEJA_MATCHE_AILLEURS
13,LAVERIE DES ROSES - Wash'N Dry,48.7918676,2.2972108,"Centre Commercial Scarron, 47 Rue des Bénards, 92260 Fontenay-aux-Roses, France",MATCHE_EXACT,2,977813021,LAVERIE DES ROSES,47 RUE DES BENARDS 92260,504646167:CARLA SERVICES,MULTI_CANDIDAT; NOUVEAU
14,S.B.S. Laverie Libre Service,48.8424653,2.2939223,"20 Rue de l&#x27;Abbé Groult, 75015 Paris, France",MATCHE_PROXIMITE,1,334402476,PHISER,116 RUE CROIX NIVERT 75015,,DEJA_MATCHE_AILLEURS; MULTI_ETAB(x4)
15,Wash N Dry Laverie Libre Service,48.8568758,2.3853191,"75011 Paris, France",MATCHE_PROXIMITE,1,538762246,AHAVA ELLA,70 RUE LEON FROT 75011,,DEJA_MATCHE_AILLEURS
16,Laverie automatique,48.9167813,2.2727232,"29 Rue d&#x27;Estienne d&#x27;Orves, 92270 Bois-Colombes, France",NON_MATCHE,0,,,,,"EKL SERVICES trouve mais NAF 82.99Z, pas laverie"
17,"Laverie Libre Service, ECLAT",48.8417623,2.2372125,"rue du, 150 Rue du Château, 92100 Boulogne-Billancourt, France",MATCHE_PROXIMITE,1,662006980,ELA EXPLOITATION DE LAVERIES AUTOMATIQUES,152 RUE DU CHATEAU 92100,,DEJA_MATCHE_AILLEURS
18,LAVERIE LAVE DISCOUNT,48.8869716,2.3123738,"12 Rue Jouffroy d&#x27;Abbans, 75017 Paris, France",MATCHE_PROXIMITE,3,672012168,SOC SELF SERVICE JUMIN,12 RUE JOUFFROY D'ABBANS 75017,513235051:MONSIEUR LINGE | 822184073:LES RATONS LAVEURS,MULTI_CANDIDAT; DEJA_MATCHE_AILLEURS; MULTI_ETAB(x2)
19,Laverie libre service - Laundry Parmentier,48.8628238,2.3765498,"62 Ave Parmentier, 75011 Paris, France",MATCHE_PROXIMITE,1,414353235,SLAV SOC LAVERIES AUTOMAT VERSAILLAISES,62 AV PARMENTIER 75011,,DEJA_MATCHE_AILLEURS; MULTI_ETAB(x2)
