siren,nom,annee,chiffre_affaires,resultat,marge_brute,excedent_brut_exploitation,resultat_exploitation,marge_nette,taux_marge_EBITDA,taux_marge_operationnelle,dettes_financieres,tresorerie,capacite_autofinancement,valeur_ajoutee,salaires_charges_sociales,BFR,ratio_endettement,autonomie_financiere,rentabilite_economique,rentabilite_fonds_propres,effectif
793165234,LAVE MONT LAVERIES MONTMARTRE,2024,387472,20598,391893,61132,42986,5.3,15.8,11.1,149849,32742,38745,98419,45651,-123789,0.7,39.2,4.5,11.6,2
793165234,LAVE MONT LAVERIES MONTMARTRE,2023,215810,2055,218380,15609,2224,1,7.2,1,183022,20305,15440,50605,36139,-116580,1,34.2,0.4,1.3,2
793165234,LAVE MONT LAVERIES MONTMARTRE,2022,165870,32909,0,0,0,,,,0,0,0,0,0,0,,,,,1
793165234,LAVE MONT LAVERIES MONTMARTRE,2021,117676,8620,121235,10659,8839,7.3,9.1,7.5,37791,8633,10439,18445,11118,-84287,0.2,50,3.5,7,
793165234,LAVE MONT LAVERIES MONTMARTRE,2020,130556,8815,0,0,0,,,,0,0,0,0,0,0,,,,,
793165234,LAVE MONT LAVERIES MONTMARTRE,2019,141434,22258,140950,27277,25859,15.7,19.3,18.3,35592,7647,23677,40150,11722,-85249,0.3,46.2,9.8,21.2,
793165234,LAVE MONT LAVERIES MONTMARTRE,2018,150590,27570,148907,29418,20696,18.3,19.5,13.7,57880,7743,36292,40315,9185,-79364,0.6,37.6,12.5,33.3,
793165234,LAVE MONT LAVERIES MONTMARTRE,2017,156868,13394,154718,26983,16943,8.5,17.2,10.8,104205,4530,23434,39570,10833,-114445,1.8,19.9,4.8,24.2,1
793165234,LAVE MONT LAVERIES MONTMARTRE,2016,0,,,,,,,,,,,,,,,,,,
793165234,LAVE MONT LAVERIES MONTMARTRE,2015,170537,14918,166283,32437,23031,8.7,19,13.5,168893,16143,24324,38269,4139,-106958,5.2,9.4,4.8,51,
793165234,LAVE MONT LAVERIES MONTMARTRE,2014,179345,11308,173730,29377,19467,6.3,16.4,10.9,199881,17257,21218,36651,1101,-98203,12.8,4.6,3.6,79,
444720593,FINANCIERE MENILMONTANT,2020,101817,-4544,108256,-2795,-3836,-4.5,-2.7,-3.8,43342,53885,-3503,37871,62561,-3495,-0.5,27.3,-5.8,-21.1,
444720593,FINANCIERE MENILMONTANT,2019,147666,14008,0,0,0,,,,0,0,0,0,0,0,,,,,
444720593,FINANCIERE MENILMONTANT,2018,146507,8040,143722,13595,9193,5.5,9.3,6.3,21110,21003,12442,72560,58565,-1168,0,24.4,16.3,66.9,
444720593,FINANCIERE MENILMONTANT,2017,151943,5899,152073,5679,-952,3.9,3.7,-0.6,24860,12609,12530,75320,70349,-1101,3.1,8,11.8,148,
444720593,FINANCIERE MENILMONTANT,2016,150264,2158,149012,500,-7727,1.4,0.3,-5.1,31839,16360,10385,68750,65673,-10403,-8.1,-3.4,3.8,-112.8,
444720593,FINANCIERE MENILMONTANT,2015,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
381354810,STARWASH,2024,450044,155934,444911,206259,198272,34.6,45.8,44.1,26552,865172,163921,223661,10991,2628,-0.9,93.9,15.7,16.8,
381354810,STARWASH,2023,396832,136663,488889,89524,170196,34.4,22.6,42.9,54340,786531,152531,101340,6092,-54863,-0.9,87,15.3,17.6,
381354810,STARWASH,2022,308310,50878,311102,83151,64988,16.5,27,21.1,83266,618916,69041,90890,10522,-10154,-0.8,80.1,6.4,8,
381354810,STARWASH,2021,269007,13240,265080,31196,14592,4.9,11.6,5.4,105118,578696,29844,59242,22730,-18046,-0.8,81.2,1.8,2.3,
381354810,STARWASH,2020,262597,-14760,258078,4836,-13534,-5.6,1.8,-5.2,113694,558702,3610,33007,24511,-8449,-0.8,81,-2.1,-2.6,
381354810,STARWASH,2019,316972,190271,314601,32565,16092,60,10.3,5.1,38864,488315,210744,66490,27317,-13875,-0.8,89.9,29.1,32.3,
381354810,STARWASH,2018,338250,14578,328530,37231,16294,4.3,11,4.8,46971,262908,35515,68775,26627,-12471,-0.5,84.4,3.1,3.7,
381354810,STARWASH,2017,362575,35079,354229,60386,41856,9.7,16.7,11.5,54781,232912,53609,93765,26781,-10553,-0.5,82.3,7.5,9.1,
381354810,STARWASH,2016,395766,52243,384217,81925,69160,13.2,20.7,17.5,62304,251500,65008,104860,18916,-55244,-0.5,73.2,11,15,
413153859,LAVERIE MAISONS ALFORT,2024,108452,25176,109083,4865,3588,23.2,4.5,3.3,14410,14214,26453,8650,,-20788,0,42.5,16.1,37.9,
413153859,LAVERIE MAISONS ALFORT,2023,108027,16467,0,0,0,,,,0,0,0,0,,0,,,,,
413153859,LAVERIE MAISONS ALFORT,2022,111226,-8256,0,0,0,,,,0,0,0,0,0,0,,,,,
413153859,LAVERIE MAISONS ALFORT,2021,99489,-23173,0,0,0,,,,0,0,0,0,0,0,,,,,
413153859,LAVERIE MAISONS ALFORT,2020,91739,-19037,91739,-19885,-25093,-20.8,-21.7,-27.4,28000,27855,-13828,-7292,10840,-62857,0,35.8,-12.1,-33.9,
413153859,LAVERIE MAISONS ALFORT,2019,114875,1196,0,0,0,,,,0,0,0,0,0,0,,,,,
413153859,LAVERIE MAISONS ALFORT,2018,119444,757,0,0,0,,,,,0,0,0,0,0,,,,,
413153859,LAVERIE MAISONS ALFORT,2017,120732,13259,0,0,0,,,,,0,0,0,0,0,,,,,
413153859,LAVERIE MAISONS ALFORT,2016,126602,7238,0,0,0,,,,0,0,0,0,0,0,,,,,
413153859,LAVERIE MAISONS ALFORT,2015,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,
903047975,SARL FASO,2023,7460,2175,31947,-21409,2613,29.2,-287,35,20000,5886,2641,-20956,,-8699,4,9.8,6.1,61.9,
903047975,SARL FASO,2022,12313,697,12314,961,761,5.7,7.8,6.2,20000,3184,897,960,,-1559,12.6,5.8,3,52.2,
391394707,VOLTAIRE LAVERIE,2024,36119,-3438,35555,5349,961,-9.5,14.8,2.7,5730,37527,950,11121,4992,-12274,-0.5,70.2,-4,-5.6,
391394707,VOLTAIRE LAVERIE,2023,0,54898,613,-1202,-1202,,,,114,29560,54898,-1816,0,10605,-0.5,93.2,79.4,85.2,
391394707,VOLTAIRE LAVERIE,2022,31805,144214,31300,-8876,-10118,453.4,-27.9,-31.8,28278,210859,146582,3502,10567,-53429,-1.2,65.1,61.1,93.9,
391394707,VOLTAIRE LAVERIE,2018,63095,7062,61943,5687,1547,11.2,9,2.5,,1361,11202,16560,9451,-7501,0,86,6.9,8,1
391394707,VOLTAIRE LAVERIE,2017,69267,7200,69851,7945,7134,10.4,11.5,10.3,0,35357,10241,18611,9025,-32699,-0.3,74.7,5.3,7.1,1
391394707,VOLTAIRE LAVERIE,2016,64164,-154,63672,5466,2399,-0.2,8.5,3.7,4652,54209,3894,16337,8855,-21741,-0.4,77.2,-0.1,-0.1,
954046835,FIRELAV,2024,213225,20724,214397,78854,27084,9.7,37,12.7,111464,87429,72494,93924,,-390342,0.8,5.7,3.9,67.5,
