siren,nom_orig,nom_pappers,objet_social,code_naf,libelle_naf,forme_juridique,date_creation,entreprise_cessee,date_cessation,adresse_ligne_1,complement_adresse,code_postal,ville,latitude,longitude,enseigne,nom_commercial,siret_siege,nb_etablissements_actifs,nb_etablissements_total,procedure_collective_en_cours,derniere_procedure_type,classification_finale,source_classification
818863821,JINFA,JINFA,"Pressing blanchisserie, retoucherie",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2016-02-29,False,,16 B RUE JOUFFROY D'ABBANS,,75017,PARIS,48.886593999801846,2.311193000002853,JINFA,JINFA,81886382100018,1,1,False,Liquidation judiciaire,PRESSING,A4_reclass
478663180,AU FIL DE L'EAU,AU FIL DE L'EAU,PRESSING LAVERIE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2004-08-24,False,,75 RUE DE BELLEVUE,,92100,BOULOGNE-BILLANCOURT,48.83520199980187,2.2308660000031835,,,47866318000014,0,2,False,Liquidation judiciaire,MIXTE,A4_reclass
535406375,SAVOIR FER,SAVOIR FER,Pressing,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2011-10-19,False,,48 RUE GABRIEL PERI,LOT DU MARCHE,92320,CHATILLON,48.801381999801826,2.2868300000029507,,,53540637500019,1,1,False,,PRESSING,A4_reclass
510257207,OUSMER SARL,OUSMER SARL,Laverie libre service automatique.,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2009-02-01,False,,19 RUE CLAVEL,,75019,PARIS,48.87523499980184,2.3840590000025523,SARL OUSMER,OUSMER SARL,51025720700017,1,1,False,,LS_PURE_NEW,A4_reclass
753106160,MANU,MANU,PRESSING RETOUCHE ET COUTURE EN TOUT GENRE,96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2012-08-01,False,,44 COURS DE VINCENNES,,75012,PARIS,48.84737999980185,2.402889000002472,,,75310616000017,1,1,False,,PRESSING,A4_reclass
814397899,RAIMELA,RAIMELA,"Pressing, cordonnerie, clés minutes, retouches. Vente de prêt à porter.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2015-10-29,False,,4 PASSAGE DU POTEAU,,75018,PARIS,48.8973699998018,2.3373900000027463,,,81439789900018,0,1,False,,PRESSING,A4_reclass
809904071,LIN YUN,LIN YUN,Pressing et retouche de vêtement.,96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",2015-02-24,False,,36 RUE JEAN MARIDOR,,75015,PARIS,48.83822999980183,2.287387000002949,PRESSING,,80990407100010,1,1,False,,PRESSING,A4_reclass
793940222,CAROCAT,CAROCAT,"Pressing, teinturerie, blanchisserie, nettoyage à sec, clés minutes, remaillage.",96.01B,Blanchisserie-teinturerie de détail,"SAS, société par actions simplifiée",2013-07-01,False,,3 RUE HENRI RIBIERE,,75019,PARIS,48.87635799980183,2.395117000002505,PLACE DES FITES,,79394022200029,1,2,False,,PRESSING,A4_reclass
919151597,ATELIER DE LA CHEMISE,ATELIER DE LA CHEMISE,Repassage - lavage - blanchisserie - dépôt pressing - retouches,96.01B,Blanchisserie-teinturerie de détail,"SASU, société par actions simplifiée unipersonnelle",2022-01-21,False,,221 RUE CHAMPIONNET,,75018,PARIS,48.89342499980183,2.329708000002778,,ATELIER DE LA CHEMISE,91915159700011,1,1,False,,PRESSING,A4_reclass
752899385,LE MAROIS PEPINIERE,LE MAROIS PEPINIERE,"Pressing automatique, laverie.",96.01B,Blanchisserie-teinturerie de détail,"SARL, société à responsabilité limitée",2012-07-12,False,,26 RUE DE LA PEPINIERE,,75008,PARIS,48.87508899980182,2.3210030000028126,LE MAROIS PEPINIERE,,75289938500013,1,1,False,,MIXTE,A4_reclass
